Time [h : m : s : ms],Caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressures
Row,37,37,37,37,37,37,37,38,38,38,38,38,38,38,39,39,39,39,39,39,39,40,40,40,40,40,40,40,41,41,41,41,41,41,41,42,42,42,42,42,42,42,43,43,43,43,43,43,43,44,44,44,44,44,44,44,,37,37,37,37,37,37,37,38,38,38,38,38,38,38,39,39,39,39,39,39,39,40,40,40,40,40,40,40,41,41,41,41,41,41,41,42,42,42,42,42,42,42,43,43,43,43,43,43,43,44,44,44,44,44,44,44,
Column,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11,5,6,7,8,9,10,11
0 : 0 : 0 : 992,6.05986886104831E-13,4.48737130353399E-13,4.06548167526666E-13,4.41066399983064E-13,4.90926093180133E-13,4.52572468433513E-13,3.45182405879149E-13,6.14246284044717E-13,5.91636006679053E-13,5.91636006679053E-13,7.27297779293257E-13,3.5422793170925E-13,3.16544099959737E-13,4.22058818016352E-13,7.01665125741463E-13,4.66512462340973E-13,4.43755763471915E-13,4.43755763471915E-13,3.26179458876724E-13,3.07215543152509E-13,3.83071206049371E-13,8.21500419773136E-13,5.36413524276219E-13,3.82616627183502E-13,3.75114354725717E-13,4.08874648548385E-13,5.40164646952584E-13,6.3019207907633E-13,7.0896614317098E-13,4.65141813954517E-13,4.53888364610258E-13,3.37602911121629E-13,3.26349488882424E-13,3.26349488882424E-13,3.82616627183502E-13,7.37689369225553E-13,4.03787870110681E-13,4.73674214001435E-13,6.75568162609302E-13,5.55208331566581E-13,4.69791686021764E-13,3.72727266802556E-13,6.54215776604156E-13,5.01813217715363E-13,4.83227553024074E-13,3.56844951808141E-13,3.1595646238225E-13,3.75430616499431E-13,4.720761542093E-13,6.41574033483083E-13,4.09999969088262E-13,6.11203687488071E-13,5.39074047987281E-13,5.35277768290432E-13,4.59351849092793E-13,3.9861110289266E-13,,-8.51925763900999,-9.11328500027003,-9.2748244610229,-9.14258706626849,-8.95266778942418,-9.09864550596313,-9.51145029206604,-8.48840485130454,-8.572946951929,-8.572946951929,-8.06954070264787,-9.47644661667403,-9.62255719287962,-9.21532733998531,-8.1639530152671,-9.04550063674816,-9.13231026812308,-9.13231026812308,-9.58512691404098,-9.65884246100582,-9.36511832325163,-7.72534682672726,-8.78051895371446,-9.36686950700055,-9.39578630694247,-9.26589234660491,-8.76636996959303,-8.42893696530186,-8.13702811886942,-9.05072164611153,-9.09362448248048,-9.54081402724667,-9.58446684277463,-9.58446684277463,-9.36686950700055,-8.03135820313298,-9.28542579984552,-9.01823620950567,-8.26041086178285,-8.70969831194643,-9.03301351063085,-9.40499329914383,-8.33958483986398,-8.91136844801162,-8.98190832644009,-9.46632750655452,-9.62484156547032,-9.39456671024329,-9.02431764732449,-8.38656758489362,-9.26157288938328,-8.49976639566558,-8.77048289530409,-8.78480436661168,-9.07278722287025,-9.30531867979359
0 : 0 : 1 : 991,6.75337552807215E-13,5.24032423357412E-13,4.90819082425709E-13,5.35103482791205E-13,4.90819082425709E-13,4.53915388349407E-13,3.76417647052207E-13,7.19168160353417E-13,5.56057858178832E-13,5.1528030974024E-13,6.19077759975856E-13,3.03978305200847E-13,3.4104883088644E-13,4.41139231264001E-13,7.90714282244975E-13,4.9785712661829E-13,3.36785693734118E-13,3.6607143098083E-13,3.40446421054352E-13,3.14821411127875E-13,4.02678568657902E-13,7.21830960889042E-13,4.40316891021225E-13,3.35651401421264E-13,4.22271104801725E-13,4.47535183824982E-13,5.19718274492875E-13,6.89348534851919E-13,6.77132449503765E-13,4.09255881137285E-13,4.5762249241757E-13,4.79945564627743E-13,4.91107046522721E-13,3.98094372137253E-13,3.49727760856969E-13,8.44007264251545E-13,4.87648658432926E-13,4.68892936630883E-13,5.47666946515424E-13,4.2012807078759E-13,3.90118926746341E-13,3.71363204944297E-13,4.90413319762656E-13,2.84872467412253E-13,3.82233930921669E-13,4.39929614005213E-13,4.97625324193812E-13,5.0483727441486E-13,4.65171466883935E-13,7.43755643010935E-13,5.86782087762944E-13,7.25068334365975E-13,5.94257065431036E-13,4.59708280556997E-13,3.9617134984897E-13,3.17684572224974E-13,,-8.26126473891432,-8.82727067049162,-8.95307402775516,-8.78546203565973,-8.95307402775516,-9.09352137824717,-9.39076077272507,-8.09944912865477,-8.70650146671583,-8.86036645321073,-8.47037293340406,-9.67144511677765,-9.52746042809557,-9.14230870847256,-7.8373534630401,-8.92636848070106,-9.54398181994741,-9.43068063108571,-9.52979442992764,-9.62925446246712,-9.28968735961564,-8.08964922721287,-9.14545181482957,-9.54837927914296,-9.21451390081036,-9.11787440128506,-8.8435795564113,-8.20943452070027,-8.25461948928096,-9.26442894037353,-9.07938116963826,-8.99438323172538,-8.95198086081047,-9.30730510092163,-9.49385564462747,-7.64375407813235,-8.96511238692381,-9.0364353526033,-8.73809333941329,-9.22272664183533,-9.33798207998768,-9.41025582430167,-8.95461445307734,-9.745937960524,-9.36834385978423,-9.14693216654381,-8.92724763910523,-8.89990776628186,-9.05060868329399,-8.00909315051517,-8.59112994269996,-8.07773945407744,-8.56313331052917,-9.07142836058148,-9.31469882651364,-9.61812426144517
0 : 0 : 2 : 991,5.99254261664239E-13,5.13646525486522E-13,4.3721100416276E-13,3.24086487897904E-13,3.45488421942333E-13,4.31096185225105E-13,3.27143910919259E-13,6.18059694135892E-13,4.77313392803491E-13,4.6201492067896E-13,7.03731344031677E-13,3.67164171245424E-13,3.30447745989365E-13,3.54925371861756E-13,7.25637269455987E-13,3.49380924581991E-13,3.7625637197905E-13,4.24034966211087E-13,3.19519313351363E-13,3.7625637197905E-13,3.79242535812618E-13,7.34595760956691E-13,4.74799724276692E-13,3.61325552811209E-13,4.4493808594101E-13,4.12090310876814E-13,3.61325552811209E-13,5.70356858530657E-13,5.63563627188624E-13,4.35345417484564E-13,3.16072715960194E-13,3.39927250844058E-13,4.35345417484564E-13,2.98181808021034E-13,3.25018169929775E-13,7.68185103201813E-13,4.03673757832027E-13,3.43423938375595E-13,6.05510650300567E-13,4.00661247885667E-13,3.64511372474841E-13,4.21748681984913E-13,5.83137813210677E-13,2.91568906605338E-13,3.84750716529714E-13,3.75733136010609E-13,3.21627544475761E-13,3.9076245494582E-13,3.09604094748603E-13,6.43727042157205E-13,4.30154067747324E-13,6.22670589135038E-13,4.51210547874545E-13,3.60968443720647E-13,4.30154067747324E-13,3.09831235103739E-13,,-8.54443267801786,-8.86654889254026,-9.15732614056032,-9.5932532610474,-9.51026539060108,-9.18071875471457,-9.58138302979717,-8.47417155594695,-9.00439218324311,-9.06263609493473,-8.15633047226308,-9.42646174684072,-9.56856167350666,-9.47374950509697,-8.07564696982135,-9.49519783222906,-9.39138260595272,-9.20775605455716,-9.61099420257284,-9.39138260595272,-9.37987097365273,-8.04271967240945,-9.01395385612357,-9.44901093601572,-9.12779347551441,-9.25355102389815,-9.44901093601572,-8.65274813509999,-8.67827253867354,-9.1644609981065,-9.62438962873238,-9.5318060782044,-9.1644609981065,-9.6940249263121,-9.5896355472593,-7.91961321518792,-9.28586415086082,-9.51826007645415,-8.5210376564601,-9.29743886790595,-9.4367048381858,-9.21651575944665,-8.60478939577051,-9.71980675793258,-9.35864924805815,-9.3934001567511,-9.6028035224439,-9.33550556141868,-9.64954732605278,-8.37856031602654,-9.18432460969192,-8.4569714875233,-9.10384308746957,-9.45039069972551,-9.18432460969192,-9.64866355857011
0 : 0 : 3 : 993,6.01726567878158E-13,5.25035960888265E-13,3.86402850905201E-13,4.24748181505202E-13,3.74604291813671E-13,3.56906453176375E-13,3.92302130450967E-13,6.25272294878243E-13,5.41902677245187E-13,5.0021786842866E-13,6.99709496072842E-13,3.4241102249595E-13,4.52578052074701E-13,3.4241102249595E-13,6.11634495221308E-13,4.97501779356258E-13,3.42398283120424E-13,4.38972155066691E-13,3.89221966289044E-13,3.33618820503451E-13,3.80442530777125E-13,6.31660739339179E-13,5.56325059804241E-13,3.3321552440034E-13,4.43321540501834E-13,3.65088303555874E-13,4.14346264547213E-13,5.01272038200967E-13,5.9737029775922E-13,3.96304191720154E-13,2.91400150537191E-13,4.05046195152067E-13,2.79744136926288E-13,3.84648178109251E-13,3.23454154085856E-13,6.39341932260479E-13,4.63376244926733E-13,3.57796854210529E-13,5.98283250198561E-13,3.95922742290819E-13,3.78326168136434E-13,4.2231758996987E-13,8.93756596509476E-12,9.33423997817595E-12,9.38382444665153E-12,9.37762627967187E-12,9.35903264609461E-12,9.17309110615161E-12,9.51398335113929E-12,6.57519611674262E-13,4.29579467700961E-13,6.42908035836109E-13,4.38346407782841E-13,4.73414113900256E-13,3.68210968442959E-13,4.73414113900256E-13,,-8.53518541965054,-8.82347833805484,-9.35228705998992,-9.20502398691002,-9.39775336728151,-9.46608974539132,-9.32958123782033,-8.44727104254557,-8.75981667055721,-8.91741645424317,-8.17116953647485,-9.52218340143592,-9.09862419874565,-9.52218340143592,-8.4981574066398,-8.92771621961254,-9.5222327482763,-9.15059235109632,-9.3414342547311,-9.55626094954185,-9.37524632109692,-8.42346621252285,-8.70549603886664,-9.55782505647935,-9.13396929967171,-9.43447685464479,-9.24489616399264,-8.91341992559161,-8.55148141193562,-9.31418800777419,-9.72046499407328,-9.28059251949679,-9.76596613387613,-9.35904415935049,-9.59570886953403,-8.39487146358167,-9.0574483993426,-9.46264772311266,-8.54806543302522,-9.31565482547668,-9.38340306501501,-9.21433578236398,13.2288219818946,14.2207184635201,14.3471586362464,14.3313218682327,14.2838678862146,13.8136660190798,14.6818459460231,-8.32731941212482,-9.18652405704271,-8.381606013767,-9.15298472175285,-9.01922593410313,-9.4224208289028,-9.01922593410313
0 : 0 : 4 : 998,6.01862852091239E-13,4.94932924938879E-13,5.10208628817788E-13,3.81892678287879E-13,3.48286124333269E-13,3.97168382166788E-13,4.55216105695738E-13,6.60606009998677E-13,5.36363596766176E-13,4.60606054165924E-13,6.57575719136688E-13,4.72727271823986E-13,3.60606049144493E-13,3.78787848526532E-13,5.92771057933428E-13,4.56927681455332E-13,4.44578293450071E-13,3.67394564207077E-13,3.95180687218916E-13,4.22966837335809E-13,4.10617449330547E-13,7.63900986737454E-13,4.65502148546543E-13,3.67030570432719E-13,4.38646270998697E-13,4.56550216468982E-13,3.64046575003496E-13,5.2518194871079E-13,6.62747959810639E-13,2.74136643290193E-13,3.76561330945116E-13,4.21748681984913E-13,3.43423938375595E-13,3.3739894558793E-13,3.73548848103811E-13,7.44051142313046E-13,4.78539137569595E-13,3.920933402176E-13,5.37198757699642E-13,4.3531622534107E-13,4.44578293450071E-13,3.36521067088869E-13,4.71703969287529E-12,5.03830831222185E-12,4.98731307987943E-12,4.89552192187159E-12,5.06380571155263E-12,4.95671602721015E-12,5.01281047921021E-12,7.21380854357134E-13,4.13956927547074E-13,5.17446166210106E-13,5.17446166210106E-13,4.35263533115487E-13,3.46993321662797E-13,3.56124716304959E-13,,-8.53467576058828,-8.93746114117019,-8.87956278364943,-9.36965861401587,-9.49943490760298,-9.31086514906041,-9.08855917135114,-8.31586615036243,-8.78070732540091,-9.06800597216606,-8.32711116137699,-9.02183965146158,-9.45179095350237,-9.38162348705283,-8.56869672120403,-9.0820308832929,-9.12916790372163,-9.42557231884268,-9.31850852646813,-9.21184816160948,-9.25920301904744,-7.93528379468777,-9.04934898247766,-9.4269775232069,-9.15183825281089,-9.08347047901224,-9.43849991304457,-8.82292669823349,-8.30792042751066,-9.7878816561508,-9.39020677783425,-9.21651575944665,-9.51826007645415,-9.54160462908148,-9.40182412481979,-8.00800904282881,-8.99973078929874,-9.33038454282351,-8.77755651110696,-9.16457265658753,-9.12916790372163,-9.54500767192113,3.55652112033922,4.31179476595414,4.19288424290936,3.97795192860998,4.37112110475914,4.12136999732825,4.25238227112331,-8.09130550711903,-9.24638964767922,-8.85217269644404,-8.85217269644404,-9.1647742028212,-9.5044391009984,-9.46911204845121
